design_id,name,qty,est_price,search_url
3737,Axle 10L,3,0.66,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3737
3708,Axle 12L,7,1.82,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3708
32062,Axle 2L notched,10,1.00,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32062
4519,Axle 3L,7,0.77,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4519
3705,Axle 4L,5,0.60,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3705
87083,Axle 4L with stop,5,0.70,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=87083
32073,Axle 5L,5,0.70,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32073
3706,Axle 6L,8,1.20,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3706
44294,Axle 7L,5,0.80,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=44294
3707,Axle 8L,6,1.08,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3707
60485,Axle 9L,3,0.60,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=60485
32526,Angular beam 3x5,6,1.50,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32526
32348,Angular beam 4x4,4,1.00,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32348
43857,Beam 2M,1,0.15,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=43857
32523,Beam 3M,2,0.30,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32523
32250,"Beam, thin, closed",4,1.00,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32250
41677,Lever 2M,6,0.90,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=41677
6632,Lever 3M,4,0.72,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6632
32056,"Lever 3x3, 90 deg",12,3.60,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32056
32013,Angle element #1 (0 deg),6,1.20,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32013
32034,Angle element #2 (180 deg),6,1.20,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32034
32016,Angle element #3 (157.5 deg),6,1.20,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32016
32192,Angle element #4 (135 deg),8,1.52,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32192
32015,Angle element #5 (112.5 deg),12,2.40,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32015
32014,Angle element #6 (90 deg),8,1.68,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32014
6538c,Axle connector 2L,9,1.35,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6538c
18654,Beam 1M,1,0.08,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=18654
42003,Cross block 3M,4,0.88,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=42003
6536,Cross block 90 deg,4,0.80,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6536
62462,Pin joiner round 2L,2,0.24,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=62462
94925,Gear 16 tooth,3,0.75,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=94925
3648,Gear 24 tooth,3,0.90,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3648
3649,Gear 40 tooth,3,1.65,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3649
10928,Gear 8 tooth,4,0.80,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=10928
11214,Axle 1L with pin 2L,2,0.56,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=11214
43093,"Axle pin, friction (blue)",12,1.20,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=43093
3749,"Axle pin, frictionless (tan)",4,0.40,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3749
3713,Bush,9,0.90,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3713
4265c,Half bush,13,1.04,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4265c
4274,Pin 1/2 with knob,12,1.20,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4274
2780,"Pin 2L, friction (black)",20,1.60,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=2780
3673,"Pin 2L, frictionless (grey)",14,1.40,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3673
32002,Pin 3/4,2,0.20,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32002
6558,"Pin 3L, friction (blue)",7,0.70,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6558
32556,"Pin 3L, frictionless (tan)",5,0.50,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32556
3743,Gear rack 1x4,5,1.00,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=3743
32072,Knob wheel,6,1.50,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=32072
57519,Tread sprocket wheel,2,3.88,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=57519
4716,Worm gear (or #32905),2,0.80,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4716
55982,Rim 18x14,6,1.26,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=55982
